code,path,status,section_id_count,wi_id_count,has_div_section,detail
WI-516,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-516-machine-operation-quick-card.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-517,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-517-setup-changeover-smed-standard-work.html,COMPLIANT,7,7,false,"All WI anchors use <section id=""wi-s#"">. section_ids=7"
WI-518,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-518-work-transfer-validation.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-519,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-519-job-packet-quick-check-and-pre-run-verification.html,COMPLIANT,7,7,false,"All WI anchors use <section id=""wi-s#"">. section_ids=7"
WI-601,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/06-WI-600/wi-601-visual-inspection-and-defect-classification.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-602,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/06-WI-600/wi-602-gage-pre-use-verification-and-status-control.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-603,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/06-WI-600/wi-603-aql-sampling-inspection-execution.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-604,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/06-WI-600/wi-604-spc-chart-use-process-capability-and-reaction.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-605,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/06-WI-600/wi-605-final-inspection-coc-and-shipment-release-handoff.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-606,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/06-WI-600/wi-606-suspect-product-containment-segregation-and-reaction.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-701,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/07-WI-700/wi-701-receiving-iqc-traceability-and-put-away.html,COMPLIANT,7,7,false,"All WI anchors use <section id=""wi-s#"">. section_ids=7"
WI-702,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/07-WI-700/wi-702-storage-environment-location-and-fifo-control.html,COMPLIANT,9,9,false,"All WI anchors use <section id=""wi-s#"">. section_ids=9"
WI-711,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/07-WI-700/wi-711-cleanroom-entry-and-gowning.html,COMPLIANT,11,11,false,"All WI anchors use <section id=""wi-s#"">. section_ids=11"
WI-712,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/07-WI-700/wi-712-ultrasonic-cleaning-standard-work.html,COMPLIANT,9,9,false,"All WI anchors use <section id=""wi-s#"">. section_ids=9"
WI-713,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/07-WI-700/wi-713-environmental-monitoring-and-response.html,COMPLIANT,6,6,false,"All WI anchors use <section id=""wi-s#"">. section_ids=6"
WI-714,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/07-WI-700/wi-714-clean-packaging-handling-and-preservation.html,COMPLIANT,10,10,false,"All WI anchors use <section id=""wi-s#"">. section_ids=10"
WI-715,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/07-WI-700/wi-715-helium-leak-test-standard-work.html,COMPLIANT,7,7,false,"All WI anchors use <section id=""wi-s#"">. section_ids=7"
WI-716,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/07-WI-700/wi-716-vacuum-compatible-clean-build-and-bagging.html,COMPLIANT,6,6,false,"All WI anchors use <section id=""wi-s#"">. section_ids=6"
WI-721,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/07-WI-700/wi-721-fod-prevention-line-clearance-and-tool-accountability.html,COMPLIANT,7,7,false,"All WI anchors use <section id=""wi-s#"">. section_ids=7"
WI-801,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/08-WI-800/wi-801-cnc-poka-yoke-examples.html,NON_COMPLIANT,0,0,true,"Legacy <div class=""section""> structure detected; migrate to <section id=""wi-s#""> during wave rewrite."
WI-901,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/09-WI-900/wi-901-performance-dashboard.html,COMPLIANT,9,9,false,"All WI anchors use <section id=""wi-s#"">. section_ids=9"
