artifact_id,prompt_id,source_tag,source_path_or_url,root_code,domain,object_or_table,command_ref,workflow_ref,api_ref,event_ref,evidence_ref,audit_ref,esign_ref,telemetry_ref,validation_ref,standard_ref,benchmark_ref,controlled_gap_ref,owner,decision_token
P03-TAX-001,P03,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_CANONICAL_OBJECT_TAXONOMY.md,ROOT-PARTY-001,master_data,Party,party_command_service,,party_api,,party_evidence,P03-AUD-MDG-01,,lineage_required,taxonomy_contract_validation,,P02-BENCH-002,GAP-P03-001,master_data,P03_PASS_WITH_CONTROLLED_GAPS
P03-TAX-002,P03,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_ROOT_AUTHORITY_LEDGER.csv,ROOT-IDENT-001,identity_user,UserIdentity,identity_command_service,,identity_api,,identity_evidence,P03-AUD-SEC-01,,identity_lineage,taxonomy_contract_validation,,P02-BENCH-001,GAP-P03-002,identity_user,P03_PASS_WITH_CONTROLLED_GAPS
P03-TAX-003,P03,BENCHMARK_PATTERN,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_ROOT_RELATIONSHIP_GRAPH.md,ROOT-ENG-001,engineering_authority,EngineeringReleaseBundle,engineering_bundle_command_service,bundle_release_workflow,engineering_bundle_api,engineering_bundle_event,released_bundle_evidence,P03-AUD-MFG-01,,bundle_freshness,taxonomy_bundle_validation,,P02-BENCH-004,GAP-P03-003,engineering_authority,P03_PASS_WITH_CONTROLLED_GAPS
P04-BLUE-001,P04,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_POSTGRES_BLUEPRINT.md,ROOT-PARTY-001,master_data,party_foundation_schema,party_command_service,,party_api,,party_evidence,P04-AUD-MDG-01,,drift_report,foundation_schema_validation,,P03-TAX-001,GAP-P04-001,master_data,P04_PASS_WITH_CONTROLLED_GAPS
P04-BLUE-002,P04,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_SCHEMA_TABLE_CATALOG.csv,ROOT-ITEM-001,engineering_authority,item_revision_site_spec_schema,item_command_service,item_workflow,item_api,item_event,item_evidence,P04-AUD-DBA-01,,cutover_drift,item_schema_validation,,P03-TAX-003,,engineering_authority,P04_PASS_WITH_CONTROLLED_GAPS
P04-BLUE-003,P04,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_CONSTRAINT_AND_INDEX_MATRIX.csv,ROOT-ENG-001,engineering_authority,bundle_constraints_and_indexes,engineering_bundle_command_service,bundle_release_workflow,engineering_bundle_api,engineering_bundle_event,released_bundle_evidence,P04-AUD-MFG-01,,fallback_read_counter,migration_bridge_validation,,P03-TAX-003,GAP-P04-002,engineering_authority,P04_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-001,P05,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P05_party_customer_supplier_employee_operator_and_user_authority_prompt_MAIN.md,ROOT-PARTY-001,master_data,Party,CreateParty,party_lifecycle,foundation_governance.party.create,party.created,party_identity_pack,P05-AUD-MDG-01,,party_duplicate_rate,foundation_service_review,,P04-BLUE-001,,master_data,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-002,P05,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P05_party_customer_supplier_employee_operator_and_user_authority_prompt_MAIN.md,ROOT-IDENT-001,identity_user,UserIdentity,AssignUserRole,user_status,admin_user_upsert,user.role_assigned,mfa_and_role_basis,P05-AUD-SEC-03,required_for_regulated_commands,identity_drift_count,ssot_guard_review,,P03-TAX-002,GAP-P05-001,identity_user,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-003,P05,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_PARTY_FIELD_CATALOG.csv,ROOT-PARTY-001,commercial_operations,CustomerProfile,CreateCustomerProfile,customers_customer_status,sales.customers.transition,hesem.master_data.customers.active,customer_requirement_pack,P05-AUD-CFO-01,,customer_hold_rate,contract_and_gate_review,,P02-BENCH-002,GAP-P05-003,commercial_operations,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-004,P05,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_PARTY_FIELD_CATALOG.csv,ROOT-PARTY-001,supplier_quality_and_procurement,SupplierProfile,CreateSupplierProfile,vendors_vendor_status,purchasing.vendors.transition,hesem.master_data.suppliers.qualified,asl_certification_pack,P05-AUD-QUAL-01,,asl_expiry_breach,quality_gate_review,,P02-BENCH-003,GAP-P05-003,supplier_quality_and_procurement,P05_PASS_WITH_CONTROLLED_GAPS
P05-AUTH-005,P05,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P05_party_customer_supplier_employee_operator_and_user_authority_prompt_SIMULATION_REPORT.md,ROOT-IDENT-001,manufacturing_operations,OperatorProfile,AssignOperatorQualification,qualification_gate,mobile_work_queue.start_task,qualification_gate.decision,training_and_cert_evidence,P05-AUD-MES-01,,expired_qualification_blocks,simulation_validation,,P02-BENCH-001,GAP-P05-002,manufacturing_operations,P05_PASS_WITH_CONTROLLED_GAPS
P06-ITEM-001,P06,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P06_item_material_part_number_revision_site_and_specification_authority_prompt_MAIN.md,ROOT-ITEM-001,engineering_authority,Item,CreateItem,item_lifecycle,inventory_logistics.inventory-items,hesem.inventory_logistics.inventory-items.active,item_identity_pack,P06-AUD-ARC-01,,duplicate_part_rate,item_schema_review,,P04-BLUE-002,,item_master_control,P06_PASS_WITH_CONTROLLED_GAPS
P06-ITEM-002,P06,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P06_item_material_part_number_revision_site_and_specification_authority_prompt_MAIN.md,ROOT-ITEM-001,engineering_authority,ItemRevision,ReleaseItemRevision,item_revision_release,engineering.item-revision.release,item_revision.released,released_revision_packet,P06-AUD-MES-02,required_for_release,release_blocker_count,release_gate_review,,P02-BENCH-004,GAP-P06-005,engineering_authority,P06_PASS_WITH_CONTROLLED_GAPS
P06-ITEM-003,P06,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_ITEM_FIELD_CATALOG.csv,ROOT-ITEM-001,planning_production,ItemSite,ConfigureItemSite,item_site_status,item.site.configuration,item_site.configured,site_profile_packet,P06-AUD-ERP-01,,site_profile_drift,item_site_review,,P02-BENCH-001,GAP-P06-004,planning_production,P06_PASS_WITH_CONTROLLED_GAPS
P06-ITEM-004,P06,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P06_item_material_part_number_revision_site_and_specification_authority_prompt_SIMULATION_REPORT.md,ROOT-ITEM-001,inventory_logistics,LotPolicy/SerialPolicy/ShelfLifePolicy,ChangeTraceabilityPolicy,traceability_policy_gate,inventory.material-issue,traceability_policy_block,lot_serial_shelf_life_evidence,P06-AUD-WH-01,,traceability_gate_failures,simulation_validation,,P02-BENCH-001,GAP-P06-003,inventory_logistics,P06_PASS_WITH_CONTROLLED_GAPS
P06-ITEM-005,P06,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P06_item_material_part_number_revision_site_and_specification_authority_prompt_MAIN.md,ROOT-ITEM-001,commercial_operations,ItemCustomerCrossRef,AddCustomerCrossRef,item_customer_crossref_effectivity,commercial.item.customer-crossref,item.customer_crossref_added,customer_item_approval_basis,P06-AUD-EXT-02,,crossref_mismatch_rate,crossref_policy_review,,P05-AUTH-003,GAP-P06-002,commercial_operations,P06_PASS_WITH_CONTROLLED_GAPS
P07-ENG-001,P07,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P07_engineering_definition_authority_bom_routing_work_definition_control_plan_inspec_MAIN.md,ROOT-ENG-001,engineering_authority,EngineeringReleasePackage,ApproveEngineeringReleasePackage,engineering_release_package,engineering.release.package,engineering_release_package.released,bundle_member_hash_packet,P07-AUD-ARC-01,required_for_release,package_member_drift,authority_model_review,,P03-TAX-003,GAP-P07-001,engineering_authority,P07_PASS_WITH_CONTROLLED_GAPS
P07-ENG-002,P07,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_ENGINEERING_RELEASE_GATE_MATRIX.csv,ROOT-ENG-001,engineering_authority,bill_of_materials,ReleaseBomVersion,bom_release,engineering.bom.release,bom.released,bom_version_packet,P07-AUD-MDG-01,,bom_overlap_conflicts,gate_matrix_review,,P02-BENCH-004,,engineering_authority,P07_PASS_WITH_CONTROLLED_GAPS
P07-ENG-003,P07,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_ENGINEERING_RELEASE_GATE_MATRIX.csv,ROOT-ENG-001,manufacturing_engineering,routings,ReleaseWorkDefinition,work_definition_release,engineering.work_definition.release,work_definition.released,operation_resource_packet,P07-AUD-MES-01,,inactive_work_center_refs,gate_matrix_review,,P02-BENCH-004,,manufacturing_engineering,P07_PASS_WITH_CONTROLLED_GAPS
P07-ENG-004,P07,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_ENGINEERING_RELEASE_GATE_MATRIX.csv,ROOT-ENG-001,quality_authority,control_plans and inspection_plans,CreateControlPlanRevision and CreateInspectionPlanRevision,quality_plan_release,quality.plan.release,quality_plan.released,pfmea_ip_cp_trace_packet,P07-AUD-QUAL-05,,ctq_missing_reaction_plan,quality_trace_review,,P02-BENCH-003,GAP-P07-003,quality_authority,P07_PASS_WITH_CONTROLLED_GAPS
P07-ENG-005,P07,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P07_engineering_definition_authority_bom_routing_work_definition_control_plan_inspec_SIMULATION_REPORT.md,ROOT-ENG-001,tooling_cnc,mes_nc_release_packages and mes_nc_download_receipts,ReleaseNcProgram and ApproveEngineeringReleasePackage,mes_nc_release_package,mes.nc.release.package,mes.nc.checksum_blocked,checksum_validation_packet,P07-AUD-TOOL-02,required_for_release,nc_checksum_mismatch_rate,simulation_validation,,P02-BENCH-001,GAP-P07-002,tooling_cnc,P07_PASS_WITH_CONTROLLED_GAPS
P08-MACH-001,P08,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P08_equipment_machine_work_center_connectivity_maintenance_and_calibration_authority_MAIN.md,ROOT-EQUIP-001,maintenance_engineering,Equipment,ChangeEquipmentLifecycleState,equipment_equipment_status,calibration_equipment.equipment.transition,equipment.lifecycle_changed,qualification_and_lockout_basis,P08-AUD-ARC-01,,equipment_availability,equipment_contract_review,,P05-AUTH-001,,maintenance_engineering,P08_PASS_WITH_CONTROLLED_GAPS
P08-MACH-002,P08,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_MACHINE_READINESS_POLICY.csv,ROOT-EQUIP-001,cross_domain,MachineReadinessPolicy,ReleaseMachineFromMaintenance,machine_readiness_gate,shopfloor.machine.readiness,machine.readiness_blocked,pm_calibration_connectivity_safety_packet,P08-AUD-MNT-01,required_for_manual_override,machine_readiness_failures,policy_review,,P07-ENG-001,GAP-P08-001,maintenance_engineering,P08_PASS_WITH_CONTROLLED_GAPS
P08-MACH-003,P08,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_MACHINE_SIGNAL_TRUST_MODEL.md,ROOT-EQUIP-001,mes_execution,MachineEventSpine,IngestMachineEvent,machine_event_spine,machine.event.ingest,machine.raw_event_recorded,raw_event_hash_chain,P08-AUD-OT-01,,replay_quarantine_rate,event_spine_review,,P02-BENCH-001,GAP-P08-003,mes_execution,P08_PASS_WITH_CONTROLLED_GAPS
P09-TOOL-001,P09,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P09_tooling_dao_cụ_fixture_gage_preset_life_and_assembly_authority_prompt_MAIN.md,ROOT-TOOL-001,tooling_control,ToolingAsset,CreateToolingAsset,tools_tool_status,calibration_equipment.tools.transition,tool.lifecycle_changed,tool_identity_packet,P09-AUD-ARC-01,,tool_breakage_rate,tool_contract_review,,P08-MACH-001,,tooling_control,P09_PASS_WITH_CONTROLLED_GAPS
P09-TOOL-002,P09,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_TOOL_LIFE_AND_BREAKAGE_REACTION_MATRIX.csv,ROOT-TOOL-001,tooling_control,ToolLifePolicy and ToolBreakageReaction,RecordToolUsage and RecordToolBreakage,wf_tool_life,tooling.life,event.tool_breakage_recorded,breakage_containment_packet,P09-AUD-QUAL-01,,tool_life_stop_hits,policy_review,,P07-ENG-001,GAP-P09-001,tooling_control,P09_PASS_WITH_CONTROLLED_GAPS
P09-TOOL-003,P09,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_TOOLING_FIELD_CATALOG.csv,ROOT-TOOL-001,quality_authority,ToolCalibrationRecord and GageMSA,RecordGageCalibration,gage_validity_gate,quality.gage.calibration,gage.calibration_recorded,msa_and_calibration_packet,P09-AUD-QUAL-02,,expired_gage_used_for_release,authority_model_review,,P02-BENCH-003,GAP-P09-002,quality_authority,P09_PASS_WITH_CONTROLLED_GAPS
P10-QUAL-001,P10,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_QUALITY_GATE_POLICY.csv,ROOT-QUAL-001,quality_authority,QualityGatePolicy,ApplyQualityHold,quality_gate_policy,quality.gates,quality.hold_changed,hold_scope_packet,P10-AUD-HOLD-01,required_for_override,quality_hold_block_rate,policy_review,,P07-ENG-001,GAP-P10-001,quality_authority,P10_PASS_WITH_CONTROLLED_GAPS
P10-QUAL-002,P10,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_NCR_CAPA_LINKAGE_MODEL.md,ROOT-QUAL-001,quality_improvement,NCR and CAPA linkage,CreateNcrFromFailure and CreateCapa,quality_case_linkage,quality.case.link,quality.case_linked,forward_backward_trace_packet,P10-AUD-NCR-01,,orphan_quality_case_rate,linkage_review,,P08-MACH-003,GAP-P10-002,quality_authority,P10_PASS_WITH_CONTROLLED_GAPS
P10-QUAL-003,P10,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P10_quality_eqms_master_quality_planning_holds_ncr_capa_and_supplier_customer_qualit_MAIN.md,ROOT-QUAL-001,quality_systems,CAPA,CreateCapa,wf_capa,quality_management.capa_records,capa.initiated,capa_effectiveness_packet,P10-AUD-CAPA-01,,capa_effectiveness_rate,contract_review,,P02-BENCH-003,,quality_systems,P10_PASS_WITH_CONTROLLED_GAPS
P11-INV-001,P11,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_TRACEABILITY_RECALL_MODEL.md,ROOT-INV-001,inventory_logistics,InventoryLedger and GenealogyLink,IssueMaterialToWO and CompleteOperation,inventory_material_flow,inventory.commands,inventory.issued_to_wip and production.output_recorded,traceability_packet,P11-AUD-WH-01,,ledger_drift_and_trace_gap,LEDGER-001 and LEDGER-006,ISA-95,MTConnect,,inventory_logistics,P11_PASS_WITH_CONTROLLED_GAPS
P11-INV-002,P11,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_LEDGER_INVARIANT_TESTS.csv,ROOT-INV-001,finance_inventory,CostLedger and WipLedger,AdjustInventoryWithApproval and PostCopqEntry,period_policy,finance.inventory.commands,inventory.adjustment_posted and quality.copq_posted,cost_evidence_packet,P11-AUD-FIN-01,required_for_backdate_exception,period_close_violations,LEDGER-005 and LEDGER-007,,Repo finance ledger patterns,GAP-P11-001,finance_inventory,P11_PASS_WITH_CONTROLLED_GAPS
P11-INV-003,P11,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P11_inventory_lot_serial_container_genealogy_wip_and_cost_ledger_authority_prompt_SIMULATION_REPORT.md,ROOT-INV-001,traceability_serialization,Lot Serial Container and QualityHold,SplitLot MergeLot ApplyInventoryHold ReleaseInventoryHold,inventory_traceability_gate,inventory.commands,inventory.lot_split and quality.hold_applied,containment_packet,P11-AUD-TRACE-01,,serial_uniqueness_and_hold_block,LEDGER-003 and LEDGER-004,,OPC UA,GAP-P11-002,traceability_serialization,P11_PASS_WITH_CONTROLLED_GAPS
P12-CMD-001,P12,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_COMMAND_CATALOG.csv,ROOT-CMD-001,cross_domain,governed_command_catalog,all listed commands,command_only_transition,/api/v1/commands/{CommandName},command.outbox.*,command_packet,P12-AUD-API-01,required_by_policy,idempotency_conflict_and_replay,command contract tests,,NIST CSF,GAP-P12-001,platform_backend,P12_PASS_WITH_CONTROLLED_GAPS
P12-CMD-002,P12,REPO_EVIDENCE,docs/backend/DOMAIN_COMMAND_SPEC.md,ROOT-CMD-001,cross_domain,idempotency and outbox envelope,IssueMaterialToWO CompleteOperation ReleaseQualityHold,workflow_generated,command endpoint family,outbox lag and domain events,e-sign packet,P12-AUD-SRE-01,required_for_regulated_commands,outbox_lag_seconds and command_failure_total,PG-011 and PG-012,,Repo command spec,GAP-P12-002,platform_backend,P12_PASS_WITH_CONTROLLED_GAPS
P12-CMD-003,P12,REPO_EVIDENCE,docs/backend/WORKFLOW_STATUS_UNIFICATION_SPEC.md,ROOT-CMD-001,cross_domain,problem_details and transition parity,status changing commands only,status_authority_generated,command endpoint family,none,violation payloads,P12-AUD-ARC-01,,problem_details_completeness,WF-001 and WF-004,,Repo workflow spec,,platform_backend,P12_PASS_WITH_CONTROLLED_GAPS
P13-WF-001,P13,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_WORKFLOW_STATUS_AUTHORITY.md,ROOT-WF-001,cross_domain,workflow status source,all transition commands,status_authority_generated,workflow generated APIs,workflow.transitioned,evidence link packet,P13-AUD-WF-01,required_by_matrix,status_registry_mismatch,WF-001..010,ISA-95,NIST CSF,GAP-P13-001,platform_backend,P13_PASS_WITH_CONTROLLED_GAPS
P13-WF-002,P13,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_APPROVAL_POLICY_MATRIX.csv,ROOT-WF-001,quality_authority and engineering_authority,approval routes,ApproveEngineeringReleasePackage ReleaseQualityHold CloseCapa,approval_route_policy,approval command APIs,approval.decision.executed,approval and disposition packets,P13-AUD-SOD-01,required_for_regulated_actions,approval_timeout_and_sod_block,approval route tests,,Repo approval adapter,GAP-P13-002,quality_authority,P13_PASS_WITH_CONTROLLED_GAPS
P13-WF-003,P13,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_ESIGN_POLICY.md,ROOT-WF-001,quality_authority,e-signature and audit spine,regulated release and hold commands,esign_required,signature challenge APIs,e_signature.created,signed_evidence_packet,P13-AUD-REG-01,required,e_sign_failure_total and audit_write_failure_total,e-sign replay and audit durability tests,,OPC UA and NIST CSF,GAP-P13-003,quality_authority,P13_PASS_WITH_CONTROLLED_GAPS
P14-MES-001,P14,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_SHOPFLOOR_SCENARIO_LIBRARY.csv,ROOT-MES-001,mes_execution,ResourceReadinessService,ReleaseWorkOrder and StartJob,wo_runtime_flow,mes.commands,work_order.released and mes.production_event_derived,readiness_snapshot_packet,P14-AUD-MES-01,,resource_readiness_failures,SF-001..100,ISA-95,MTConnect,GAP-P14-001,mes_execution,P14_PASS_WITH_CONTROLLED_GAPS
P14-MES-002,P14,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P14_mes_runtime_work_order_release_resource_readiness_and_shopfloor_simulation_promp_SIMULATION_REPORT.md,ROOT-MES-001,quality_authority,inspection and containment runtime,RecordInspectionResult CompleteOperation,wo_runtime_flow,mes.commands,quality.hold_applied and production.output_recorded,inspection_and_containment_packet,P14-AUD-QUAL-01,required_for_override,inspection_fail_and_suspect_output,shopfloor scenario assertions,,Repo quality and runtime specs,GAP-P14-002,quality_authority,P14_PASS_WITH_CONTROLLED_GAPS
P14-MES-003,P14,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/P14_mes_runtime_work_order_release_resource_readiness_and_shopfloor_simulation_promp_MAIN.md,ROOT-MES-001,mes_execution,offline candidate policy,StartJob CompleteOperation and offline sync,wo_runtime_flow,mobile_runtime_candidate_apis,offline.candidate_captured,offline_reconcile_packet,P14-AUD-SEC-01,,offline_reconcile_backlog,offline replay tests,,OPC UA,GAP-P14-003,mes_execution,P14_PASS_WITH_CONTROLLED_GAPS
P15-MIG-001,P15,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_COLLECTION_CROSSWALK.csv,ROOT-MIG-001,platform_backend,collection_crosswalk,all governed commands,migration_modes,cutover_control_api,reconciliation_event,cutover_evidence_packet,P15-AUD-MIG-01,,fallback_read_total and drift_count,PG-101..107,,Repo migration spec,GAP-P15-001,platform_backend,P15_PASS_WITH_CONTROLLED_GAPS
P15-MIG-002,P15,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_MIGRATION_TEST_PROTOCOL.md,ROOT-MIG-001,platform_backend,migration_protocol,mode switch commands,migration_modes,cutover_control_api,drift.detected and mode.switched,restore_drill_packet,P15-AUD-ROLL-01,,reconciliation_age and fallback_read_total,PG protocol suite,,NIST CSF,GAP-P15-002,platform_backend,P15_PASS_WITH_CONTROLLED_GAPS
P15-MIG-003,P15,REPO_EVIDENCE,docs/backend/POSTGRES_MIGRATION_AND_SYNC_SPEC.md,ROOT-MIG-001,cross_domain,rollback and reconciliation policy,rollback and switch commands,migration_modes,cutover_control_api,mode.rollback_attempted,rollback_decision_packet,P15-AUD-SRE-01,,dual_write_failure and unknown_status_count,PG-001..012,,Repo sync spec,GAP-P15-003,platform_backend,P15_PASS_WITH_CONTROLLED_GAPS
P16-SEC-001,P16,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_PERMISSION_MATRIX.csv,ROOT-SEC-001,security_iam,command permission matrix,governed command family,command_only_transition,command APIs,security.access_checked,access_request_packet,P16-AUD-SEC-01,required_for_regulated_actions,permission_denied and role_revocation,authz and redaction tests,NIST CSF,NIST CSF,GAP-P16-001,security_iam,P16_PASS_WITH_CONTROLLED_GAPS
P16-SEC-002,P16,REPO_EVIDENCE,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_SOD_RULES.csv,ROOT-SEC-001,security_iam,SoD rules,approval and release commands,approval_policy,command APIs,approval.blocked,approval_override_packet,P16-AUD-SOD-01,required_for_sod_exceptions,sod_block_count,sod scenario tests,,Repo approval adapter,GAP-P16-002,security_iam,P16_PASS_WITH_CONTROLLED_GAPS
