scenario_id,group,seed,precondition,expected_gate
SF-086,security,prompt_injection,attachment contains AI prompt injection,ignore_ai_instruction
SF-087,security,edge_fake_ready,adapter claims machine ready without approved mapping,block_ot_mutation
SF-088,security,api_scope_mismatch,integration token calls admin command,block_permission
SF-089,security,emergency_override,override without expiry,block_override
SF-090,security,audit_delete_attempt,delete append-only audit row,block_and_alert
SF-091,migration,shadow_write_fail,JSON success PG fail,mark_projection_stale
SF-092,migration,fallback_read,PG primary falls back to JSON,alert_fallback
SF-093,migration,unknown_status,legacy status not in registry,block_cutover
SF-094,migration,duplicate_key,normalized duplicate part number,block_migration
SF-095,migration,rerun_idempotent,migration rerun with same batch,pass_idempotent
SF-096,migration,rollback_window,rollback from PG primary with dual write intact,controlled_rollback_only
SF-097,migration,archive_used,API reads archived JSON in PG only mode,raise_p0
SF-098,migration,drift_report_old,reconciliation stale,block_switch
SF-099,migration,in_progress_rows,cutover with stale in_progress idempotency,block_switch
SF-100,migration,backup_restore,restore drill executed,pass_restore_test
