field_group,field,object,type,required,lifecycle,validation,source,owner,notes
quality_eqms,first_article_required,ItemQualityProfile,bool,N,governed_transition,boolean,mom/database/migrations/006_erp_master_data.sql,quality_authority,FAI gate driver
quality_eqms,customer_part_number,ItemCustomerCrossRef,text,N,versioned_crossref,non_blank_when_active,mom/database/migrations/006_erp_master_data.sql,commercial_operations,Target move to versioned crossref object
inventory_storage,default_warehouse_id,ItemSite,uuid,N,governed_reference,must_reference_site_warehouse,mom/database/migrations/073_canonical_master_data_core.sql,inventory_logistics,Local storage authority
inventory_storage,esd_sensitive,ItemStorageProfile,bool,N,governed_transition,boolean,mom/database/migrations/006_erp_master_data.sql,inventory_logistics,Storage gating
inventory_storage,moisture_sensitive_level,ItemStorageProfile,text,N,governed_transition,known_msl_code,mom/database/migrations/006_erp_master_data.sql,inventory_logistics,Handling policy
inventory_storage,packaging_material,ItemPackagingSpec,text,N,versioned_spec,non_blank_when_packaging_required,mom/contracts/table-registry.json,inventory_logistics,Target normalized package spec
cost_finance,std_material_cost,ItemCostProfile,number,N,versioned_effective_cost,non_negative,mom/contracts/table-registry.json,finance_costing,Standard cost should be time-bounded
cost_finance,cost_rollup_basis_revision,ItemCostProfile,text,N,versioned_effective_cost,must_reference_released_rev,INFERENCE from cost rollup rule,finance_costing,No draft BOM cost rollup
customer_commercial,customer_revision,ItemCustomerCrossRef,text,N,versioned_crossref,effectivity_window_required,INFERENCE from P06 scope,commercial_operations,OQC cert and SO import use this
governance,row_version,AllLifecycleOwners,int,Y,optimistic_concurrency,monotonic_increment,P04 controlled gap carry-forward,platform_backend,Needed on future bridge tables
