gap_id,prompt_id,severity,domain,gap_summary,source,owner,required_source_or_decision,acceptance_criterion,blocks_next_prompt,status
GAP-P03-001,P03,P2,taxonomy,Party root is taxonomy-locked but current repo still stores customers and suppliers in separate physical tables,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_ROOT_AUTHORITY_LEDGER.csv,master_data,P04/P05 must define physical mapping and migration bridge,Party role model is mapped without data loss,N,controlled_gap
GAP-P03-002,P03,P2,taxonomy,UserIdentity EmployeeProfile and OperatorQualification are locked conceptually but not yet emitted as one formal canonical contract pack,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_CANONICAL_OBJECT_TAXONOMY.md,identity_user,P04/P05 must define canonical storage and command model,No duplicate person mutation lanes remain,N,controlled_gap
GAP-P03-003,P03,P2,taxonomy,EngineeringReleaseBundle is a canonical taxonomy decision not yet backed by schema,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_ROOT_RELATIONSHIP_GRAPH.md,engineering_authority,P04 must define schema package and release bundle storage,Released engineering authority becomes physically modelled,N,controlled_gap
GAP-P04-001,P04,P2,schema,Exact canonical bridge between users employees and target user_party_link is not yet implemented,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_POSTGRES_BLUEPRINT.md,identity_user,P05 must resolve person party user authority and bridge rules,Identity writes use one canonical chain without parallel mutations,N,controlled_gap
GAP-P04-002,P04,P2,schema,engineering_release_bundle is a blueprint addition not yet implemented physically,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_CONSTRAINT_AND_INDEX_MATRIX.csv,engineering_authority,Implement schema and command package in later prompt,Released execution package has physical authority tables and constraints,N,controlled_gap
GAP-P04-003,P04,P2,schema,Customer-item and supplier-process approval objects are still partial or implicit in current repo,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_POSTGRES_BLUEPRINT.md,master_data/P05,Define exact physical tables and command ownership,Approval objects no longer depend on JSON-only collections,N,controlled_gap
GAP-P04-004,P04,P2,schema,Some tables lack proven row_version and actor columns in this turn and need uplift inventory,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_SCHEMA_TABLE_CATALOG.csv,platform_backend,Schema uplift plan in implementation phase,All lifecycle owners expose optimistic concurrency and actor lineage,N,controlled_gap
GAP-P05-001,P05,P2,identity_user,user_party_link is design-locked in P05 but not yet physically implemented in schema or command runtime,_reports/agent-audits/mda-prompt-os-2026-05-29/P05_party_customer_supplier_employee_operator_and_user_authority_prompt_MAIN.md,identity_user,Add bridge table plus governed command API in later implementation prompt,User-to-party relationship has one physical authoritative chain with effectivity revocation and audit,N,controlled_gap
GAP-P05-002,P05,P2,manufacturing_operations,Operator qualification remains split between current gate service config files and existing training certification tables,_reports/agent-audits/mda-prompt-os-2026-05-29/P05_party_customer_supplier_employee_operator_and_user_authority_prompt_MAIN.md,manufacturing_operations,Move qualification requirements and ledger to PostgreSQL-backed authority while preserving current execution gate,StartJob gate reads one governed qualification authority chain with freshness telemetry,N,controlled_gap
GAP-P05-003,P05,P2,master_data,Customer-party and supplier-party physical convergence is not implemented and customer-item or supplier-process approvals remain partial,_reports/agent-audits/mda-prompt-os-2026-05-29/P05_party_customer_supplier_employee_operator_and_user_authority_prompt_MAIN.md,commercial_operations and supplier_quality_and_procurement,P06 and P10 must define profile bridge tables and explicit approval objects,Commercial and supplier gates no longer depend on implicit JSON or freeform metadata,N,controlled_gap
GAP-P05-004,P05,P2,master_data,Duplicate merge command needs a full transactional remap catalog across open SO PO quality and inventory references,_reports/agent-audits/mda-prompt-os-2026-05-29/P05_party_customer_supplier_employee_operator_and_user_authority_prompt_SIMULATION_REPORT.md,master_data,Later implementation prompt must enumerate all dependent tables and alias migration strategy,Party merge is replay-safe reversible before commit and fully lineage-preserving,N,controlled_gap
GAP-P05-005,P05,P2,security_iam,Regulated-command MFA and re-auth enforcement is policy-locked but not yet proven across every governed command surface,_reports/agent-audits/mda-prompt-os-2026-05-29/P05_party_customer_supplier_employee_operator_and_user_authority_prompt_MAIN.md,security_iam,P12 and P13 must unify command envelope and e-sign challenge enforcement,Every regulated approval or release path rejects missing MFA and records challenge evidence,N,controlled_gap
GAP-P06-001,P06,P2,engineering_authority,Legacy items and canonical item key convergence is not yet physically implemented and still needs deterministic bridge mapping,_reports/agent-audits/mda-prompt-os-2026-05-29/P06_item_material_part_number_revision_site_and_specification_authority_prompt_MAIN.md,item_master_control,Implementation prompt must define canonical key bridge and migration reconciliation,Runtime reads and writes no longer guess between UUID canonical item and legacy text item identifiers,N,controlled_gap
GAP-P06-002,P06,P2,engineering_authority,Customer-item approval supplier-process approval and versioned customer/supplier crossref tables are still conceptual targets,_reports/agent-audits/mda-prompt-os-2026-05-29/P06_item_material_part_number_revision_site_and_specification_authority_prompt_MAIN.md,commercial_operations and procurement_supplier_quality,P07 P10 and later implementation prompts must define physical tables command ownership and cutover path,Item release and shipment PO gates read explicit approval objects rather than freeform legacy fields,N,controlled_gap
GAP-P06-003,P06,P2,platform_backend,UOM and conversion authority remains an inherited dependency and is intentionally not modified in this branch to avoid cross-AI collision,_reports/agent-audits/mda-prompt-os-2026-05-29/P06_item_material_part_number_revision_site_and_specification_authority_prompt_MAIN.md,platform_backend,Close inherited P01 UOM authority path on the dedicated branch then re-point item commands to that governed service,CreateItem and revision release consume one governed UOM source without local workaround logic,N,controlled_gap
GAP-P06-004,P06,P2,planning_production,Normalized site-level profile tables for planning procurement storage quality and cost are not yet all physical,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_ITEM_FIELD_CATALOG.csv,planning_production and finance_costing,Later schema and command prompts must split legacy items field clusters into site/profile tables,Enterprise item header no longer owns local operational settings,N,controlled_gap
GAP-P06-005,P06,P2,security_iam,Unified command envelope e-sign and SoD enforcement for regulated revision release is deferred to command and e-sign prompts,_reports/agent-audits/mda-prompt-os-2026-05-29/P06_item_material_part_number_revision_site_and_specification_authority_prompt_MAIN.md,engineering_authority and security_iam,P12 and P13 must wire command envelope and challenge flow,All approval and release commands enforce actor evidence MFA where required and idempotent replay behavior,N,controlled_gap
GAP-P07-001,P07,P2,engineering_authority,EngineeringReleasePackage is design-locked as canonical root but not yet proven as a dedicated physical table and command surface,_reports/agent-audits/mda-prompt-os-2026-05-29/P07_engineering_definition_authority_bom_routing_work_definition_control_plan_inspec_MAIN.md,engineering_authority,Implement physical package root and member tables with transactionally verified approval flow,SO JO and WO release read one canonical package authority instead of field-presence checks,N,controlled_gap
GAP-P07-002,P07,P2,platform_backend,Current runtime still depends on JSON master snapshot rebuild for some readiness collections even after partial PG sync repair,_reports/agent-audits/mda-prompt-os-2026-05-29/P07_engineering_definition_authority_bom_routing_work_definition_control_plan_inspec_MAIN.md,platform_backend,Finish PG round-trip reconciliation for traveler quality-gate customer approval supplier approval and engineering collections,Release package verification reads PostgreSQL authority without JSON-primary fallback for governed decisions,N,controlled_gap
GAP-P07-003,P07,P2,quality_authority,Inspection plan revision and characteristic canonical package is still partly spread between older quality tables and newer control-plan links,_reports/agent-audits/mda-prompt-os-2026-05-29/P07_engineering_definition_authority_bom_routing_work_definition_control_plan_inspec_MAIN.md,quality_authority,Define exact canonical inspection-plan revision member package and cutover path,Inspection release gates read one normalized characteristic and sampling authority chain,N,controlled_gap
GAP-P07-004,P07,P2,commercial_operations and procurement_supplier_quality,Supplier-process approval and customer approval objects remain inherited external dependencies from P05 and P06,_reports/agent-audits/mda-prompt-os-2026-05-29/P07_engineering_definition_authority_bom_routing_work_definition_control_plan_inspec_MAIN.md,commercial_operations and procurement_supplier_quality,Implement explicit approval objects and link them into release package members,Engineering release does not rely on freeform metadata or implied approvals,N,controlled_gap
GAP-P07-005,P07,P2,security_iam,Unified command envelope MFA e-sign and rollback idempotency remain deferred to later command and e-sign prompts,_reports/agent-audits/mda-prompt-os-2026-05-29/P07_engineering_definition_authority_bom_routing_work_definition_control_plan_inspec_MAIN.md,security_iam and engineering_authority,P12 and P13 must wire command envelope challenge and replay controls,Every package release approval or rollback carries actor evidence SoD and replay safety,N,controlled_gap
GAP-P08-001,P08,P2,maintenance_engineering and mes_execution,Machine readiness is policy-locked but not yet implemented as one canonical command-time service across dispatch WO release and start-job,_reports/agent-audits/mda-prompt-os-2026-05-29/P08_equipment_machine_work_center_connectivity_maintenance_and_calibration_authority_MAIN.md,maintenance_engineering and mes_execution,Implement unified readiness service reading equipment PM calibration connectivity and package truth,All governed releases and starts use one readiness decision chain,N,controlled_gap
GAP-P08-002,P08,P2,quality_authority,OOT investigation object is not yet proven as a dedicated physical governed table in this review,_reports/agent-audits/mda-prompt-os-2026-05-29/P08_equipment_machine_work_center_connectivity_maintenance_and_calibration_authority_MAIN.md,quality_authority,Define OOT investigation schema and impacted-lot linkage,Open OOT can quarantine affected machine and lots with traceable evidence,N,controlled_gap
GAP-P08-003,P08,P2,mes_execution and security_iam,Approved signal-tag map authority is modeled but no dedicated physical tag-map approval table was proven,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_MACHINE_SIGNAL_TRUST_MODEL.md,mes_execution and security_iam,Implement signal-tag map version approval object and audit chain,Signal semantics cannot change without governed approval and lineage,N,controlled_gap
GAP-P09-001,P09,P2,tooling_control and quality_authority,Tool breakage containment is policy-locked but not yet proven as a dedicated physical governed event plus NCR linkage chain,_reports/agent-audits/mda-prompt-os-2026-05-29/P09_tooling_dao_cụ_fixture_gage_preset_life_and_assembly_authority_prompt_MAIN.md,tooling_control and quality_authority,Implement breakage event object with genealogy and NCR inspection triggers,Suspect output since last good checkpoint is contained automatically and auditable,N,controlled_gap
GAP-P09-002,P09,P2,quality_authority,Gage calibration and MSA are linked conceptually but still spread across calibration links and GRR study lanes,_reports/agent-audits/mda-prompt-os-2026-05-29/P09_tooling_dao_cụ_fixture_gage_preset_life_and_assembly_authority_prompt_MAIN.md,quality_authority,Define explicit measurement-system authority object and CTQ gate surface,CTQ measurements require valid gage calibration and acceptable MSA in one governed chain,N,controlled_gap
GAP-P09-003,P09,P2,tooling_control and manufacturing_engineering,Machine material and operation compatibility for tools is still partially implicit in metadata and engineering requirement links,_reports/agent-audits/mda-prompt-os-2026-05-29/P09_tooling_dao_cụ_fixture_gage_preset_life_and_assembly_authority_prompt_MAIN.md,tooling_control and manufacturing_engineering,Implement normalized compatibility object and release-package linkage,Tool load and issue decisions read explicit compatibility truth rather than freeform metadata,N,controlled_gap
GAP-P10-001,P10,P2,quality_authority and logistics,Quality holds inventory holds and shipment holds are policy-unified here but not yet proven as one physical canonical hold service,_reports/agent-audits/mda-prompt-os-2026-05-29/P10_quality_eqms_master_quality_planning_holds_ncr_capa_and_supplier_customer_qualit_MAIN.md,quality_authority and logistics,Implement canonical hold authority with scope-aware release commands,All blocked movements and releases read one governed hold chain,N,controlled_gap
GAP-P10-002,P10,P2,quality_authority,QualityOrder trigger generation remains fragmented across receipt inspection and runtime event surfaces,_reports/agent-audits/mda-prompt-os-2026-05-29/P10_quality_eqms_master_quality_planning_holds_ncr_capa_and_supplier_customer_qualit_MAIN.md,quality_authority,Implement deterministic trigger service with idempotent source linkage,Required quality orders are always generated once from governed trigger points,N,controlled_gap
GAP-P10-003,P10,P2,quality_authority and supplier_quality,Complaint supplier 8D and some customer supplier quality objects still rely on mixed legacy/runtime lanes,_reports/agent-audits/mda-prompt-os-2026-05-29/P10_quality_eqms_master_quality_planning_holds_ncr_capa_and_supplier_customer_qualit_MAIN.md,quality_authority and supplier_quality,Define physical complaint 8D and link tables plus cutover path,Backward and forward quality trace does not rely on freeform metadata,N,controlled_gap
GAP-P11-001,P11,P2,inventory_logistics and finance_inventory,Canonical inventory and cost reconciliation runner is specified but not implemented,_reports/agent-audits/mda-prompt-os-2026-05-29/P11_inventory_lot_serial_container_genealogy_wip_and_cost_ledger_authority_prompt_MAIN.md,inventory_logistics and finance_inventory,Implement daily reconciliation and alerting,Ledger and cost parity checks run daily and block cutover or close when failing,N,controlled_gap
GAP-P11-002,P11,P2,inventory_logistics,Container child parity and FEFO enforcement depend on later command and UI work,_reports/agent-audits/mda-prompt-os-2026-05-29/P11_inventory_lot_serial_container_genealogy_wip_and_cost_ledger_authority_prompt_MAIN.md,inventory_logistics,Implement command service and projection re-anchor logic,Move and issue commands enforce child parity and FEFO,N,controlled_gap
GAP-P11-003,P11,P2,traceability_serialization,Recall export and evidence packaging remain design-level,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_TRACEABILITY_RECALL_MODEL.md,traceability_serialization,Implement governed recall export command,Complaint serial and supplier heat exports are one-click and auditable,N,controlled_gap
GAP-P12-001,P12,P2,platform_backend,Command catalog is complete at design level but runtime command coverage is incomplete,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_COMMAND_CATALOG.csv,platform_backend,Implement remaining governed command services and routes,All governed mutations resolve to commands only,N,controlled_gap
GAP-P12-002,P12,P2,platform_backend and integration_architecture,OpenAPI and Arazzo generation are specified but not emitted,_reports/agent-audits/mda-prompt-os-2026-05-29/P12_domain_command_service_api_contract_problem_details_idempotency_and_outbox_facto_MAIN.md,platform_backend and integration_architecture,Generate API contracts from command source,Client and workflow docs match runtime contracts,N,controlled_gap
GAP-P12-003,P12,P2,sre and frontend,Idempotency recovery UX and telemetry are deferred,_reports/agent-audits/mda-prompt-os-2026-05-29/P12_domain_command_service_api_contract_problem_details_idempotency_and_outbox_facto_MAIN.md,sre and frontend,Implement recovery console and metrics,Stale in-progress rows are visible and safely recoverable,N,controlled_gap
GAP-P13-001,P13,P2,platform_backend,Workflow evidence and e-sign generator is designed but not implemented,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_WORKFLOW_STATUS_AUTHORITY.md,platform_backend,Implement generator and parity CI,DB PHP UI and OpenAPI statuses stay byte-equivalent,N,controlled_gap
GAP-P13-002,P13,P2,quality_authority and security_iam,Approval route and delegation policy store is not yet canonical in runtime,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_APPROVAL_POLICY_MATRIX.csv,quality_authority and security_iam,Implement approval policy service,All regulated approvals resolve through one policy source,N,controlled_gap
GAP-P13-003,P13,P2,sre and quality_authority,Audit and e-sign telemetry remains deferred,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_ESIGN_POLICY.md,sre and quality_authority,Wire signatures and audit failures into control tower,Signature and audit incidents alert within SLO,N,controlled_gap
GAP-P14-001,P14,P2,mes_execution and maintenance_engineering,Canonical ResourceReadinessService is designed but not implemented,_reports/agent-audits/mda-prompt-os-2026-05-29/P14_mes_runtime_work_order_release_resource_readiness_and_shopfloor_simulation_promp_MAIN.md,mes_execution and maintenance_engineering,Implement one readiness gate service for release and start,All shopfloor start and release commands call one readiness decision chain,N,controlled_gap
GAP-P14-002,P14,P2,mes_execution and quality_authority,Runtime event spine and containment triggers still need physical implementation,_reports/agent-audits/mda-prompt-os-2026-05-29/P14_mes_runtime_work_order_release_resource_readiness_and_shopfloor_simulation_promp_MAIN.md,mes_execution and quality_authority,Implement raw and derived event services with containment hooks,Alarm tool-break and inspection-fail events all spawn governed reactions,N,controlled_gap
GAP-P14-003,P14,P2,mes_execution and frontend,Offline high-risk reconcile policy remains design-only,_reports/agent-audits/mda-prompt-os-2026-05-29/P14_mes_runtime_work_order_release_resource_readiness_and_shopfloor_simulation_promp_MAIN.md,mes_execution and frontend,Implement candidate queue and operator reconcile UX,Offline stale completions cannot mutate closed or changed runtime state,N,controlled_gap
GAP-P15-001,P15,P2,platform_backend and sre,Live cutover rehearsals and restore drills are not executed in this prompt pack,_reports/agent-audits/mda-prompt-os-2026-05-29/P15_jsonpostgresql_migration_sync_reconciliation_cutover_and_rollback_prompt_MAIN.md,platform_backend and sre,Run rehearsal evidence on staging or controlled prod-like environment,Each domain shows zero blocker drift and tested restore,N,controlled_gap
GAP-P15-002,P15,P2,platform_backend and domain owners,Some collection mappings remain design-level until corresponding runtime services exist,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_COLLECTION_CROSSWALK.csv,platform_backend and domain owners,Implement services and verify crosswalk fidelity,All required collections round-trip JSON and PG without fatal drift,N,controlled_gap
GAP-P15-003,P15,P2,sre and frontend,Fallback telemetry and human-readable drift exports still require control-tower implementation,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_MIGRATION_TEST_PROTOCOL.md,sre and frontend,Implement dashboard and report export,Operators can see fallback and drift blockers immediately,N,controlled_gap
GAP-P16-001,P16,P2,security_iam and frontend,Permission and field-redaction matrix is defined but not yet wired across all surfaces,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_PERMISSION_MATRIX.csv,security_iam and frontend,Implement central authz service and UI redaction,Command and record shell access align to one policy source,N,controlled_gap
GAP-P16-002,P16,P2,security_iam and quality_authority,SoD exceptions and delegation lifecycle need runtime policy objects,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_SOD_RULES.csv,security_iam and quality_authority,Implement SoD exception records and expiry checks,Override and deputy use is bounded and auditable,N,controlled_gap
GAP-P16-003,P16,P2,sre and mes_execution,Security and OT abuse-case telemetry remains design-only,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_SECURITY_ABUSE_CASES.md,sre and mes_execution,Wire incidents and heartbeats into alerting,Critical security or OT trust failures alert within SLO,N,controlled_gap
GAP-P17-001,P17,P2,sre and platform_backend,Telemetry contract and dashboards are planned but not wired to live runtime,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_TELEMETRY_CONTRACT.csv,sre and platform_backend,Implement metrics traces dashboards and incidents,All critical signals visible with owners and runbooks,N,controlled_gap
GAP-P17-002,P17,P2,sre and data_governance,Runbook automation and exportable reconciliation packs remain implementation tasks,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_TEST_ACCEPTANCE_DASHBOARD_SPEC.md,sre and data_governance,Implement runbooks and export services,Incidents and reconciliations produce usable evidence packages,N,controlled_gap
GAP-P17-003,P17,P2,data_governance and frontend,Projection freshness and data-quality scoring still require concrete jobs and UI panels,_reports/agent-audits/mda-prompt-os-2026-05-29/P17_observability_telemetry_sre_data_quality_and_operational_control_tower_prompt_MAIN.md,data_governance and frontend,Implement freshness jobs and stewardship board,Operators and stewards can act on freshness and quality failures,N,controlled_gap
GAP-P18-001,P18,P2,frontend,Authoritative record shells are defined but not implemented in frontend routes and templates,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_UI_CONTRACT_MATRIX.csv,frontend,Implement canonical routes and shell layouts,Governed roots open in record shells with audit evidence and command actions,N,controlled_gap
GAP-P18-002,P18,P2,frontend and sre,Projection disable reasons and freshness banners still need runtime/UI wiring,_reports/agent-audits/mda-prompt-os-2026-05-29/P18_frontend_ux_contract_for_mda_authoritative_record_shells_workspaces_disabled_act_MAIN.md,frontend and sre,Implement UI badges and disabled-state panels,Workspaces never present hidden authority or unknown freshness,N,controlled_gap
GAP-P18-003,P18,P2,frontend and mes_execution,Offline candidate queue and re-anchor UX remain design-only,_reports/agent-audits/mda-prompt-os-2026-05-29/P18_frontend_ux_contract_for_mda_authoritative_record_shells_workspaces_disabled_act_MAIN.md,frontend and mes_execution,Implement candidate capture and reconcile flows,Mobile offline cannot mutate governed data without governed reconcile,N,controlled_gap
GAP-P19-001,P19,P2,qa_automation,Scenario library and dashboard spec are complete but executable DSL runner is not built,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_SIMULATION_MASTER_LIBRARY.csv,qa_automation,Implement scenario parser and runner,200 scenarios execute with pass/fail outputs and evidence,N,controlled_gap
GAP-P19-002,P19,P2,qa_automation and frontend,Acceptance dashboard and export flows remain planned not implemented,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_TEST_ACCEPTANCE_DASHBOARD_SPEC.md,qa_automation and frontend,Implement dashboard and export surfaces,Operators and auditors can view scenario evidence and blocker counts,N,controlled_gap
GAP-P19-003,P19,P2,platform_architecture and domain owners,Some scenarios depend on future command/runtime services before automation can go live,_reports/agent-audits/mda-prompt-os-2026-05-29/P19_end-to-end_factory_scenario_simulator_and_failure-mode_test_pack_prompt_MAIN.md,platform_architecture and domain owners,Complete prerequisite waves before turning on automation,Critical scenarios run against real command stack without mocks for final acceptance,N,controlled_gap
GAP-P20-001,P20,P2,platform_architecture and domain owners,Final synthesis remains design-level because implementation waves are intentionally not executed here,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_FINAL_MASTER_BUILD_PLAN.md,platform_architecture and domain owners,Execute backlog waves and re-run red team,All DoD gates pass in runtime not only in planning pack,N,controlled_gap
GAP-P20-002,P20,P2,platform_architecture and platform_backend,Some stories still depend on earlier physical schema and command gaps,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_IMPLEMENTATION_BACKLOG.csv,platform_architecture and platform_backend,Close dependent implementation gaps,Backlog blockers collapse as waves complete,N,controlled_gap
GAP-P21-001,P21,P2,platform_architecture and domain owners,External red-team confirms planning completeness but still depends on implementation waves for runtime proof,_reports/agent-audits/mda-prompt-os-2026-05-29/MDA_EXTERNAL_REDTEAM_REPORT.md,platform_architecture and domain owners,Execute backlog and rerun scorecard on live implementation,Critical criteria remain >=4 after runtime evidence is added,N,controlled_gap
