canonical_code,metric_type,current_calculation_status,recommended_calculation_status,has_engine_constant,has_calc_function,calc_function_name,source_tables_verified,source_columns_verified,min_sample_required,empty_period_behavior,manual_input_needed,migration_needed,dashboard_endpoint_needed,snapshot_needed,priority,where_found,source_tables,missing_tables,source_columns
CUSTOMER_COMM_CLOSURE_OT,kpi,staged_data_contract,staged_data_contract_until_columns_and_calc_verified,no,no,,no,partial,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,no,no,P0,annex122_governance_kpis|jd_kpi_scorecards,customer_communication_log,customer_communication_log,created_at|closed_at|sla_hours
CUSTOMER_ESCAPE_NOTIFICATION_LT,gate_control_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,gate_control_metrics,,,
CYCLE_TIME_VARIANCE,operating_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
DOWNTIME_IMPACT,metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,yes,no,P1,dashboard_core_kpis,,,
DPMO,metric,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcDpmo,yes,engine_query_only,no,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics,inspection_results,,
DSO,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcDso,yes,migration_text_hit,yes,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|annex122_governance_kpis|jd_kpi_scorecards,ap_ar_invoices,,ledger_type|invoice_date|payment_date
ECN_LEAD_TIME,gate_control_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,gate_control_metrics|jd_kpi_scorecards,,,
ECO_CLOSURE_AGING,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcEcoClosureAging,yes,migration_text_hit,yes,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|annex122_governance_kpis|jd_kpi_scorecards,engineering_change_requests,,created_at|ecr_status
ENGINEERING_RELEASE_ON_TIME,kpi,staged_data_contract,staged_data_contract_until_columns_and_calc_verified,no,no,,no,migration_text_hit,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,no,no,P0,annex122_governance_kpis|jd_kpi_scorecards,engineering_releases,engineering_releases,due_date|released_at
ENGINEERING_RELEASE_RFT,gate_control_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,gate_control_metrics|jd_kpi_scorecards,,,
FAI_CYCLE_TIME,gate_control_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,gate_control_metrics,,,
FAI_FIRST_PASS,kpi,staged_data_contract,staged_data_contract_until_columns_and_calc_verified,no,no,,yes,partial,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,no,yes,no,P0,annex122_governance_kpis|executive_scorecard|gate_control_metrics|proposed_operating_metrics|jd_kpi_scorecards|scorecard_evidence_contracts|metric_governance_overrides,inspection_results,,inspection_type|attempt_number|result
FINAL_RELEASE_RFT,kpi,staged_data_contract,staged_data_contract_until_columns_and_calc_verified,no,no,,partial,no,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,no,no,P0,annex122_governance_kpis|jd_kpi_scorecards,inspection_results|trusted_release_records,trusted_release_records,release_decision|reopened_at
FOD_LINE_CLEARANCE_COMPLIANCE,kpi,staged_data_contract,staged_data_contract,no,no,,no,migration_text_hit,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,no,no,P1,annex122_governance_kpis|jd_kpi_scorecards,quality_audits,quality_audits,audit_type|result
FPY,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcFpy,yes,engine_query_only,no,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|executive_scorecard|dashboard_core_kpis|gate_control_metrics|jd_kpi_scorecards|scorecard_evidence_contracts|metric_governance_overrides,inspection_results,,
GROSS_MARGIN_JOB_FAMILY,kpi,staged_data_contract,staged_data_contract_until_columns_and_calc_verified,no,no,,partial,partial,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,yes,no,P0,annex122_governance_kpis|executive_scorecard|jd_kpi_scorecards|scorecard_evidence_contracts|metric_governance_overrides,job_orders|invoices,invoices,job_cost|revenue|product_family
IN_PROCESS_REJECT_RATE,gate_control_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,gate_control_metrics|proposed_operating_metrics|jd_kpi_scorecards,,,
INCIDENT_ACTION_CLOSURE_AGING,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcIncidentActionClosureAging,yes,migration_text_hit,yes,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|annex122_governance_kpis|jd_kpi_scorecards,ehs_incidents,,created_at|incident_status
INV_TURNS,metric,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcInventoryTurns,yes,engine_query_only,no,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics,kpi_snapshots|kpi_definitions,,
INVENTORY_ACCURACY,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcInventoryAccuracy,yes,migration_text_hit,yes,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|annex122_governance_kpis|dashboard_core_kpis|jd_kpi_scorecards,wms_cycle_count_results,,variance_qty|created_at
INVOICE_RFT,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcInvoiceRft,yes,migration_text_hit,yes,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|annex122_governance_kpis|jd_kpi_scorecards,ap_ar_invoices,,invoice_date|three_way_match_status
IQC_PASS_RATE,gate_control_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,gate_control_metrics|jd_kpi_scorecards,,,
LABOR_EFF,metric,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcLaborEfficiency,yes,engine_query_only,no,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics,job_orders|items,,
MACHINE_UTIL,metric,runtime_calculated,staged_data_contract_until_source_repaired,yes,yes,calcMachineUtil,no,engine_query_only,no,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,yes,no,no,P0,runtime_calculated_metrics,equipment_logs,equipment_logs,
MASTER_DATA_EXCEPTION_AGING,kpi,staged_data_contract,staged_data_contract,no,no,,no,migration_text_hit,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,no,no,P1,annex122_governance_kpis|jd_kpi_scorecards,data_exceptions,data_exceptions,created_at|resolved_at|exception_type
MATERIAL_AVAILABILITY_PLAN,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcMaterialAvailabilityPlan,yes,migration_text_hit,yes,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|annex122_governance_kpis|jd_kpi_scorecards,job_orders,,start_date_planned|material_readiness_status
MONTH_END_CLOSE_OT,kpi,staged_data_contract,staged_data_contract,no,no,,no,partial,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,no,no,P1,annex122_governance_kpis|jd_kpi_scorecards,finance_close_log,finance_close_log,step_code|due_date|completed_at
MTBF,operating_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
MTTR,operating_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
NCR_CLOSURE_AGING,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcNcrClosureAging,yes,migration_text_hit,yes,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|annex122_governance_kpis|jd_kpi_scorecards,ncr_records,,created_at|ncr_status
NCR_RATE,metric,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcNcrRate,yes,engine_query_only,no,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics,ncr_records|records|job_orders,,
OEE,gate_control_metric,runtime_calculated,staged_data_contract_until_source_repaired,yes,yes,calcOee,partial,engine_query_only,no,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,yes,no,yes,P0,runtime_calculated_metrics|gate_control_metrics|jd_kpi_scorecards,equipment_logs|job_orders|items,equipment_logs,
OEE_BOTTLENECK,kpi,staged_data_contract,staged_data_contract_until_columns_and_calc_verified,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,yes,yes,P0,executive_scorecard|proposed_operating_metrics|scorecard_evidence_contracts|metric_governance_overrides,,,
ORDER_REVIEW_RFT,kpi,staged_data_contract,staged_data_contract,no,no,,yes,no,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P1,annex122_governance_kpis|gate_control_metrics|jd_kpi_scorecards,job_orders,,order_review_status|review_reopened_at
OTD,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcOtd,yes,migration_text_hit,yes,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|annex122_governance_kpis|executive_scorecard|dashboard_core_kpis|gate_control_metrics|jd_kpi_scorecards|scorecard_evidence_contracts|metric_governance_overrides,shipments,,delivery_date_actual|delivery_date_est|ship_date|shipment_status
PLAN_ADHERENCE,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcPlanAdherence,yes,migration_text_hit,yes,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|annex122_governance_kpis|dashboard_core_kpis|jd_kpi_scorecards,job_orders,,start_date_planned|start_date_actual|metadata->approved_resequence
POS_AP_PAYMENT_OT,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_AREA_5S_FOD_SCORE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_AUDIT_FINDING_CLOSURE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_AUDIT_FINDING_EFFECTIVENESS,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_AUDIT_PLAN_COMPLIANCE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_BACKUP_SUCCESS_RATE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_CAM_COLLISION_INCIDENTS,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_CAM_PROGRAM_FPY,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_CAM_PROGRAM_ON_TIME,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_CAM_PROVEOUT_TIME,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_CLEANLINESS_COMPLIANCE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_CUSTOMS_CLEARANCE_OT,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_CYCLE_COUNT_COMPLIANCE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_DEBURR_ESCAPE_RATE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_DEBURR_OUTPUT_ADHERENCE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_DFM_ISSUE_CATCH_RATE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_DFM_REVIEW_ON_TIME,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_EXCESS_INVENTORY,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_EXPORT_DOC_ACCURACY,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_GL_RECONCILIATION_OT,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_GOODS_RECEIPT_OT,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_IE_IMPROVEMENT_DELIVERY,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_INSPECTION_ESCAPE_RATE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_INSPECTION_THROUGHPUT,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,yes,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_MAINT_RESPONSE_TIME,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_NCR_INVESTIGATION_QUALITY,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_OP_MACHINE_UPTIME,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_OP_OUTPUT_ADHERENCE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_OP_PART_ACCEPT,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_PACKAGING_DEFECT_RATE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_PACKAGING_OUTPUT_OT,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_PAYMENT_ACCURACY,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_PAYROLL_ACCURACY,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_PAYROLL_OT,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_PICK_ACCURACY,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_PM_BREAKDOWN_RATIO,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_PM_SCHEDULE_COMPLIANCE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_PO_CYCLE_TIME,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_PPAP_SUBMISSION_OT,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_PROCESS_VALIDATION_OT,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_PURCHASE_PRICE_VARIANCE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_ROUTING_ACCURACY,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_SAFETY_PPE_COMPLIANCE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_SELF_INSPECTION_COMPLIANCE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_SETUP_DOC_QUALITY,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_SETUP_SHEET_COMPLIANCE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_SETUP_TIME_VARIANCE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_SHIPMENT_DELAY_RATE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_STD_TIME_ACCURACY,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_STOCKOUT_RATE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
