code,name,domain,authority_class,current_maturity_baseline,target_wave,purpose,next_gates
ESIGN,Electronic Signature,Evidence / e-Sign,platform root,1,W3/W9,signature meaning and identity-bound approval evidence,"meaning, signer, challenge, record snapshot, audit"
AUDIT,Audit Trail Event,Evidence / Compliance,platform root,1,W1,immutable trace of authoritative changes,"before/after, actor, timestamp, reason, correlation"
EVENT,Domain Event,Event / Notification,platform root,1,W1,publishable fact derived from authority roots,"schema, version, idempotency, replay"
NOTIF,Notification,Event / Notification,platform root,1,W1,human/system notification tied to domain event,"recipient policy, template, escalation, audit"
APICON,API Contract,Integration / Resilience,platform root,1,W1,"OpenAPI, schemas and compatibility authority","contract diff, examples, problem details"
DATACON,Data Contract,Data Platform,platform root,1,W4/W8,CDC/schema/data product contract,"schema version, lineage, DQ checks, owner"
OTGNODE,Operational Truth Graph Node,Digital Thread,platform root,1,W7,semantic object in operational truth graph,"node type, source authority, identity, validity"
OTGEDGE,Operational Truth Graph Edge,Digital Thread,platform root,1,W7,typed relationship/action/evidence link between roots,"edge type, causality, timestamp, actor/source"
WCENTER,Work Center,MES / Planning,authoritative root,0,W6,capacity and equipment grouping for scheduling/execution,"calendar, eligible equipment, labor skill, constraints"
ROUTE,Routing,Product Engineering / MES,authoritative root,0,W6,sequence of operations and standard times,"revision/effectivity, work center, instruction linkage"
OPER,Operation Execution,MES,authoritative root,0,W6,step-level execution evidence and status,"start/stop, operator, equipment, parameter capture, exceptions"
TOOL,Tooling,MES / Maintenance,authoritative root,0,W6,"tool status, calibration, usage and eligibility","tool status, PM/calibration, assignment, lifecycle"
CNC,Machine Program,MES / OT,authoritative root,0,W6,controlled machine program/version reference,"revision, checksum, machine eligibility, release approval"
DOWNTIME,Downtime Event,MES / OEE,authoritative root,0,W6,"loss event for OEE, maintenance and continuous improvement","reason taxonomy, machine, start/end, approval"
OEEVT,OEE Event,Analytics / MES,authoritative root,0,W8,"availability, performance and quality event stream","calculation contract, source mapping, traceability"
SPC,SPC Study / Control Chart,Quality Engineering,authoritative root,0,W8,statistical process control over measured characteristics,"rational subgroup, control limits, reaction plan, alarm event"
CAL,Calibration Event,Metrology,authoritative root,0,W6,calibration history and device eligibility,"standard traceability, interval, result, due status"
MSA,Measurement System Analysis,Metrology / Quality,authoritative root,0,W8,prove measurement system fitness,"gage R&R, bias/linearity/stability, acceptance"
FMEA,FMEA,Quality Engineering,authoritative root,0,W10,risk analysis linked to control plan and process change,"severity/occurrence/detection, action linkage, review"
CTRLPLAN,Control Plan,Quality Engineering,authoritative root,0,W10,inspection/control requirements derived from risk and design,"characteristics, frequency, method, reaction plan"
SCAR,Supplier Corrective Action,Supplier Quality,authoritative root,0,W10,supplier quality escape correction and effectiveness,"supplier scope, containment, corrective action, verification"
MRB,Material Review Board,Quality / Inventory,authoritative root,0,W7,cross-functional disposition of nonconforming material,"quarantine, disposition, approvers, inventory transaction"
AUDPLAN,Audit Plan,eQMS,authoritative root,0,W9,internal/supplier/customer audit schedule and scope,"risk-based schedule, checklist, finding linkage"
FINDING,Audit Finding,eQMS,authoritative root,0,W9,"audit observation, severity and corrective path","classification, due date, CAPA/SCAR linkage"
RISK,Operational Risk,eQMS / AI / Security,authoritative root,0,W9,formal risk object across product/process/system/AI/security,"risk owner, score, control, residual risk, review"
COMPLAINT,Customer Complaint,Quality / Customer,authoritative root,0,W10,post-market or customer quality issue root,"intake, investigation, regulatory assessment, CAPA link"
INVTXN,Inventory Transaction,Inventory / Warehouse,authoritative root,0,W5,stock movement ledger and quantity/status authority,"lot/status, source doc, posting rules, reconciliation"
SHIP,Shipment,Fulfillment,authoritative root,0,W5,shipping execution and customer delivery evidence,"release status, pick/pack, carrier, export/serialization"
INVOICE,Invoice,Finance / Commercial,authoritative root,0,W5,commercial billing evidence linked to shipment/order,"SO/ship match, tax, approval, GL posting"
COST,Cost / Variance,Finance / Cost,authoritative root,0,W8,standard/actual/WIP cost and variance analysis,"cost rollup, transaction inputs, approval, finance reconciliation"
MREC,Master Record / Master Batch Record,Pharma Vertical,vertical root,0,W10,regulated master production/batch record template,"recipe, instructions, checks, approvals, effective date"
CREC,Completed Record / eBR-eDHR,Pharma / Med Device Vertical,vertical root,0,W10,executed manufacturing record for release review,"step evidence, exception review, signature, release packet"
EBR,Electronic Batch Record,Pharma Vertical,vertical root,0,W10,batch execution record governed by GMP controls,"recipe execution, deviations, calculations, review-by-exception"
EDHR,Electronic Device History Record,Medical Device Vertical,vertical root,0,W10,device history evidence from build to release,"serial/lot genealogy, inspections, signatures, DMR linkage"
SERIAL,Serial Number,Traceability / Aerospace / Med Device,vertical root,0,W10,unit-level identity and genealogy,"serialization policy, unique identity, configuration, service history"
APQP,APQP Program,Automotive Vertical,vertical root,0,W10,advanced product quality planning program evidence,"phased gates, FMEA/control plan/PPAP linkage"
PPAP,PPAP Package,Automotive Vertical,vertical root,0,W10,production part approval package,"submission level, dimensional, material, capability evidence"
FAI,First Article Inspection,Aerospace Vertical,vertical root,0,W10,first article verification package,"ballooned drawing, characteristic results, approvals"
CONC,Concession / Deviation Permit,Aerospace / Quality,vertical root,0,W10,authorized use-as-is/deviation from requirement,"customer/regulatory approval, expiration, affected lots"
EXPORT,Export Control Record,Compliance / Aerospace,vertical root,0,W10,export-controlled item/user/shipment compliance evidence,"jurisdiction/classification, denied party, license, audit"
