type,term,canonical,occurrences,files,in_glossary,sample_files
"acronym","AQL","AQL",60,15,true,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-metrology-and-calibration-specialist.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-qa-manager.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-qc-inspector-cmm-programmer-operator.html"
"acronym","AR","AR",67,14,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-finance-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-production-planner.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\05-JD-Supply-Chain\jd-logistics-shipping-coordinator.html"
"acronym","AS9100D","AS9100D",5,5,true,"03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-102-quality-policy-objectives-and-organizational-context.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-302-first-article-inspection-fai.html"
"acronym","AS9102","AS9102",7,3,true,"03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-302-first-article-inspection-fai.html | 10-Training-Academy\01-Competency-System\01-Framework\assessment-matrix.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-20.html"
"acronym","ASCII","ASCII",2,1,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-28.html"
"acronym","ASD","ASD",3,2,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-104-data-governance-records-security-and-ip-protection.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html"
"acronym","ASL","ASL",7,1,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-21.html"
"acronym","ASME","ASME",2,1,false,"10-Training-Academy\02-Training-Content\01-Modules\C14.html"
"acronym","ASTM","ASTM",2,1,false,"03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-300\annex-302-approved-materials-list.html"
"acronym","AVL","AVL",9,4,true,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-105-process-map-detailed.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L4.html | 10-Training-Academy\02-Training-Content\02-OJT-Guides\ojt-role-purchasing.html"
"acronym","B1","B1",24,24,false,"03-Tai-Lieu-Van-Hanh\03-Reference\06-ANNEX-600\annex-601-aql-method-reference.html | 10-Training-Academy\01-Competency-System\01-Framework\competency-assessment-guide.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L1.html"
"acronym","B2","B2",24,24,false,"03-Tai-Lieu-Van-Hanh\03-Reference\06-ANNEX-600\annex-601-aql-method-reference.html | 10-Training-Academy\01-Competency-System\01-Framework\competency-assessment-guide.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L1.html"
"acronym","B2B","B2B",15,7,false,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\05-JD-Supply-Chain\jd-logistics-shipping-coordinator.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\06-JD-Sales\jd-customer-service.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\06-JD-Sales\jd-estimator.html"
"acronym","B3","B3",24,23,false,"03-Tai-Lieu-Van-Hanh\03-Reference\06-ANNEX-600\annex-601-aql-method-reference.html | 10-Training-Academy\01-Competency-System\01-Framework\competency-assessment-guide.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L1.html"
"acronym","B4","B4",24,24,false,"03-Tai-Lieu-Van-Hanh\03-Reference\06-ANNEX-600\annex-601-aql-method-reference.html | 10-Training-Academy\01-Competency-System\01-Framework\competency-assessment-guide.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L1.html"
"acronym","B5","B5",21,21,false,"03-Tai-Lieu-Van-Hanh\03-Reference\06-ANNEX-600\annex-601-aql-method-reference.html | 10-Training-Academy\01-Competency-System\01-Framework\competency-assessment-guide.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L1.html"
"acronym","B6","B6",21,21,false,"10-Training-Academy\01-Competency-System\01-Framework\competency-assessment-guide.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L2.html | 10-Training-Academy\02-Training-Content\01-Modules\C01.html"
"acronym","BAQ","BAQ",11,6,false,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-epicor-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\10-JD-IT\jd-epicor-system-administrator.html | 03-Tai-Lieu-Van-Hanh\02-Work-Instructions\09-WI-900\wi-901-performance-dashboard.html"
"acronym","BCP","BCP",6,2,true,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-116-m365-folder-structure-blueprint.html | 10-Training-Academy\01-Competency-System\02-Levels\18-C18-Supply-Chain\C18-L4.html"
"acronym","BD","BD",4,4,true,"10-Training-Academy\01-Competency-System\02-Levels\11-C11-Sales-Contract-Review\C11-L1.html | 10-Training-Academy\01-Competency-System\02-Levels\11-C11-Sales-Contract-Review\C11-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\11-C11-Sales-Contract-Review\C11-L3.html"
"acronym","BHTN","BHTN",3,1,false,"03-Tai-Lieu-Van-Hanh\03-Reference\08-ANNEX-800\annex-802-collective-bargaining-agreement.html"
"acronym","BHXH","BHXH",13,4,false,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\07-JD-Finance\jd-general-ledger-and-payroll-accountant.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\08-JD-HR\jd-hr-manager.html | 03-Tai-Lieu-Van-Hanh\03-Reference\08-ANNEX-800\annex-802-collective-bargaining-agreement.html"
"acronym","BLACK","BLACK",19,7,false,"10-Training-Academy\01-Competency-System\02-Levels\08-C08-Data-Driven-ERP\C08-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\08-C08-Data-Driven-ERP\C08-L3.html | 10-Training-Academy\01-Competency-System\02-Levels\08-C08-Data-Driven-ERP\C08-L4.html"
"acronym","BLOCK","BLOCK",388,75,false,"03-Tai-Lieu-Van-Hanh\02-Work-Instructions\02-WI-200\wi-207-high-risk-job-readiness-control-tower.html | 03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-300\annex-302-approved-materials-list.html | 03-Tai-Lieu-Van-Hanh\03-Reference\04-ANNEX-400\annex-403-approved-processor-list.html"
"acronym","BLOCKED","BLOCKED",37,6,false,"03-Tai-Lieu-Van-Hanh\02-Work-Instructions\02-WI-200\wi-207-high-risk-job-readiness-control-tower.html | 03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-300\annex-302-approved-materials-list.html | 03-Tai-Lieu-Van-Hanh\03-Reference\07-ANNEX-700\annex-701-gs1-sscc-data-dictionary-and-pack-reconciliation.html"
"acronym","BOM","BOM",18,13,true,"03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-201-order-fulfillment-rfq-to-cash.html | 03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-300\annex-302-approved-materials-list.html | 03-Tai-Lieu-Van-Hanh\03-Reference\06-ANNEX-600\annex-606-surface-finish-vacuum-compatibility.html"
"acronym","BUY","BUY",2,1,false,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-120-authority-matrix.html"
"acronym","C1","C1",10,3,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-19.html"
"acronym","C2","C2",3,2,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html"
"acronym","C3","C3",5,3,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-19.html"
"acronym","C4","C4",4,2,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html"
"acronym","C8","C8",2,1,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html"
"acronym","CAL","CAL",7,3,false,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-metrology-and-calibration-specialist.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-qc-inspector-cmm-programmer-operator.html | 03-Tai-Lieu-Van-Hanh\02-Work-Instructions\06-WI-600\wi-602-gage-pre-use-verification-and-status-control.html"
"acronym","CAM","CAM",161,49,true,"02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-engineering-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-quality-handbook.html"
"acronym","CAPA","CAPA",713,151,true,"02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html | 02-Tai-Lieu-He-Thong\02-Policies-Objectives\pol-qms-001-quality-policy.html | 02-Tai-Lieu-He-Thong\02-Policies-Objectives\pol-qms-002-quality-objectives.html"
"acronym","CAPA8D","CAPA8D",9,3,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-08.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html"
"acronym","CB","CB",4,4,true,"10-Training-Academy\01-Competency-System\02-Levels\19-C19-Leadership-Coaching\C19-L1.html | 10-Training-Academy\01-Competency-System\02-Levels\19-C19-Leadership-Coaching\C19-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\19-C19-Leadership-Coaching\C19-L3.html"
"acronym","CCB","CCB",2,1,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-19.html"
"acronym","CDN","CDN",6,3,false,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-130-excel-form-download-only-delivery-profile-and-uat-gate.html | 03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-132-excel-form-download-only-runtime-rollout-and-server-checklist.html | 03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-136-excel-form-server-stack-download-delivery-profiles.html"
"acronym","CEO","CEO",105,29,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-ehs-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-finance-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-hr-handbook.html"
"acronym","CERT","CERT",3,3,false,"10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-05-supplier-subcon.html | 10-Training-Academy\04-Templates-Tools\certificate-template.html | 10-Training-Academy\04-Templates-Tools\evidence-naming-rule.html"
"acronym","CFG","CFG",6,1,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-28.html"
"acronym","CHANGE","CHANGE",3,1,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-24.html"
"acronym","CI","CI",40,19,true,"03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-106-change-and-configuration-management.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\08-SOP-800\sop-802-incident-near-miss-and-ehs.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\09-SOP-900\sop-903-continual-improvement-and-kaizen.html"
"acronym","CLEAN","CLEAN",4,2,false,"03-Tai-Lieu-Van-Hanh\02-Work-Instructions\07-WI-700\wi-702-storage-environment-location-and-fifo-control.html | 03-Tai-Lieu-Van-Hanh\03-Reference\07-ANNEX-700\annex-703-warehouse-location-fifo-rules.html"
"acronym","CMM","CMM",253,68,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-quality-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\01-JD-Executive\jd-production-director.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-cnc-workshop-manager.html"
"acronym","CNC","CNC",561,207,true,"02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html | 02-Tai-Lieu-He-Thong\02-Policies-Objectives\pol-qms-001-quality-policy.html | 02-Tai-Lieu-He-Thong\02-Policies-Objectives\pol-qms-002-quality-objectives.html"
"acronym","CNTT","CNTT",9,4,false,"02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-it-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\10-JD-IT\jd-it-admin.html"
"acronym","COA","COA",3,3,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-05.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-06.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-12.html"
"acronym","COC","COC",27,14,true,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-cleaning-and-packaging-supervisor.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-qa-manager.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-qc-inspector-lead.html"
"acronym","CONDITIONAL","CONDITIONAL",3,2,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-302-first-article-inspection-fai.html | 03-Tai-Lieu-Van-Hanh\02-Work-Instructions\03-WI-300\wi-302-first-piece-fai-execution-and-evidence-pack.html"
"acronym","COO","COO",2,2,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-13.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-16.html"
"acronym","COPQ","COPQ",26,17,true,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\07-JD-Finance\jd-finance-manager.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\08-SOP-800\sop-803-invoicing-job-costing-and-arap.html | 10-Training-Academy\01-Competency-System\02-Levels\03-C03-Right-First-Time\C03-L1.html"
"acronym","CP1","CP1",24,17,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html"
"acronym","CP2","CP2",24,17,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html"
"acronym","CP3","CP3",17,17,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html"
"acronym","CP4","CP4",23,17,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html"
"acronym","CP5","CP5",15,14,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-04.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-08.html"
"acronym","CP6","CP6",18,16,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html"
"acronym","CP7","CP7",22,17,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html"
"acronym","CP8","CP8",4,4,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-08.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-28.html"
"acronym","CR","CR",33,5,true,"10-Training-Academy\01-Competency-System\02-Levels\17-C17-CNC-Setup-CAM\C17-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\17-C17-CNC-Setup-CAM\C17-L3.html | 10-Training-Academy\02-Training-Content\03-Practice-Drills\drill-customer-ctq-translation.html"
"acronym","CRITICAL","CRITICAL",3,2,true,"03-Tai-Lieu-Van-Hanh\02-Work-Instructions\02-WI-200\wi-201-quality-gates-hold-points-and-release-execution.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html"
"acronym","CRM","CRM",13,7,true,"10-Training-Academy\01-Competency-System\01-Framework\assessment-matrix.html | 10-Training-Academy\01-Competency-System\01-Framework\competency-metrics.html | 10-Training-Academy\01-Competency-System\02-Levels\11-C11-Sales-Contract-Review\C11-L1.html"
"acronym","CS","CS",119,30,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-engineering-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-finance-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-production-handbook.html"
"acronym","CSR","CSR",33,14,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-engineering-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\01-JD-Executive\jd-production-director.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-cleaning-packaging-technician.html"
"acronym","CSV","CSV",2,2,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-04.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-09.html"
"acronym","CTQ","CTQ",1128,186,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-production-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-quality-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\01-JD-Executive\jd-production-director.html"
"acronym","D0","D0",3,3,false,"10-Training-Academy\01-Competency-System\02-Levels\05-C05-Customer-Service-B2B\C05-L3.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html | 10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-06-daily-management.html"
"acronym","D4","D4",2,2,false,"10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L3.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html"
"acronym","D5","D5",2,2,false,"10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L3.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html"
"acronym","D6","D6",2,2,false,"10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L3.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html"
"acronym","D7","D7",2,2,false,"10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L3.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html"
"acronym","D8","D8",2,2,false,"10-Training-Academy\01-Competency-System\02-Levels\05-C05-Customer-Service-B2B\C05-L3.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html"
"acronym","DATA","DATA",19,4,true,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-109-power-automate-flows-and-approvals-spec.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html"
"acronym","DAX","DAX",7,2,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-06.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-08.html"
"acronym","DC","DC",7,2,true,"03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-303-engineering-release-baseline-package-and-job-snapshot-control.html | 10-Training-Academy\01-Competency-System\02-Levels\11-C11-Sales-Contract-Review\C11-L4.html"
"acronym","DCN","DCN",28,1,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-12.html"
"acronym","DCR","DCR",87,38,true,"03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-101-document-and-data-control.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-104-data-governance-records-security-and-ip-protection.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-105-organizational-knowledge-management.html"
"acronym","DDP","DDP",2,1,true,"10-Training-Academy\01-Competency-System\02-Levels\11-C11-Sales-Contract-Review\C11-L2.html"
"acronym","DEP","DEP",8,1,false,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-116-m365-folder-structure-blueprint.html"
"acronym","DEV","DEV",21,4,false,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-109-power-automate-flows-and-approvals-spec.html | 03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-113-dashboard-deployment-access-and-refresh-control.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-08.html"
"acronym","DFM","DFM",184,28,true,"02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-engineering-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\01-JD-Executive\jd-production-director.html"
"acronym","DIM","DIM",2,2,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html | 10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-g4-final-ship-packet.html"
