term,canonical,occurrences,files,in_glossary,sample_files
"CAPA8D","CAPA8D",9,3,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-08.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html"
"CB","CB",4,4,true,"10-Training-Academy\01-Competency-System\02-Levels\19-C19-Leadership-Coaching\C19-L1.html | 10-Training-Academy\01-Competency-System\02-Levels\19-C19-Leadership-Coaching\C19-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\19-C19-Leadership-Coaching\C19-L3.html"
"CCB","CCB",2,1,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-19.html"
"CDN","CDN",6,3,false,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-130-excel-form-download-only-delivery-profile-and-uat-gate.html | 03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-132-excel-form-download-only-runtime-rollout-and-server-checklist.html | 03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-136-excel-form-server-stack-download-delivery-profiles.html"
"CEO","CEO",105,29,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-ehs-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-finance-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-hr-handbook.html"
"CERT","CERT",3,3,false,"10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-05-supplier-subcon.html | 10-Training-Academy\04-Templates-Tools\certificate-template.html | 10-Training-Academy\04-Templates-Tools\evidence-naming-rule.html"
"CFG","CFG",6,1,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-28.html"
"CHANGE","CHANGE",3,1,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-24.html"
"CI","CI",40,19,true,"03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-106-change-and-configuration-management.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\08-SOP-800\sop-802-incident-near-miss-and-ehs.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\09-SOP-900\sop-903-continual-improvement-and-kaizen.html"
"CLEAN","CLEAN",4,2,false,"03-Tai-Lieu-Van-Hanh\02-Work-Instructions\07-WI-700\wi-702-storage-environment-location-and-fifo-control.html | 03-Tai-Lieu-Van-Hanh\03-Reference\07-ANNEX-700\annex-703-warehouse-location-fifo-rules.html"
"CMM","CMM",253,68,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-quality-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\01-JD-Executive\jd-production-director.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-cnc-workshop-manager.html"
"CNC","CNC",561,207,true,"02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html | 02-Tai-Lieu-He-Thong\02-Policies-Objectives\pol-qms-001-quality-policy.html | 02-Tai-Lieu-He-Thong\02-Policies-Objectives\pol-qms-002-quality-objectives.html"
"CNTT","CNTT",9,4,false,"02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-it-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\10-JD-IT\jd-it-admin.html"
"COA","COA",3,3,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-05.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-06.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-12.html"
"COC","COC",27,14,true,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-cleaning-and-packaging-supervisor.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-qa-manager.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\04-JD-Quality\jd-qc-inspector-lead.html"
"CONDITIONAL","CONDITIONAL",3,2,false,"03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-302-first-article-inspection-fai.html | 03-Tai-Lieu-Van-Hanh\02-Work-Instructions\03-WI-300\wi-302-first-piece-fai-execution-and-evidence-pack.html"
"COO","COO",2,2,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-13.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-16.html"
"COPQ","COPQ",26,17,true,"02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\07-JD-Finance\jd-finance-manager.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\08-SOP-800\sop-803-invoicing-job-costing-and-arap.html | 10-Training-Academy\01-Competency-System\02-Levels\03-C03-Right-First-Time\C03-L1.html"
"CP1","CP1",24,17,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html"
"CP2","CP2",24,17,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html"
"CP3","CP3",17,17,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html"
"CP4","CP4",23,17,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html"
"CP5","CP5",15,14,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-04.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-08.html"
"CP6","CP6",18,16,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html"
"CP7","CP7",22,17,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html"
"CP8","CP8",4,4,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-08.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-28.html"
"CR","CR",33,5,true,"10-Training-Academy\01-Competency-System\02-Levels\17-C17-CNC-Setup-CAM\C17-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\17-C17-CNC-Setup-CAM\C17-L3.html | 10-Training-Academy\02-Training-Content\03-Practice-Drills\drill-customer-ctq-translation.html"
"CRITICAL","CRITICAL",3,2,true,"03-Tai-Lieu-Van-Hanh\02-Work-Instructions\02-WI-200\wi-201-quality-gates-hold-points-and-release-execution.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-03.html"
"CRM","CRM",13,7,true,"10-Training-Academy\01-Competency-System\01-Framework\assessment-matrix.html | 10-Training-Academy\01-Competency-System\01-Framework\competency-metrics.html | 10-Training-Academy\01-Competency-System\02-Levels\11-C11-Sales-Contract-Review\C11-L1.html"
"CS","CS",119,30,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-engineering-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-finance-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-production-handbook.html"
"CSR","CSR",33,14,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-engineering-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\01-JD-Executive\jd-production-director.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\02-JD-Production\jd-cleaning-packaging-technician.html"
"CSV","CSV",2,2,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-04.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-09.html"
"CTQ","CTQ",1128,186,true,"02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-production-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-quality-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\01-JD-Executive\jd-production-director.html"
"D0","D0",3,3,false,"10-Training-Academy\01-Competency-System\02-Levels\05-C05-Customer-Service-B2B\C05-L3.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html | 10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-06-daily-management.html"
"D4","D4",2,2,false,"10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L3.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html"
"D5","D5",2,2,false,"10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L3.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html"
"D6","D6",2,2,false,"10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L3.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html"
"D7","D7",2,2,false,"10-Training-Academy\01-Competency-System\02-Levels\06-C06-Problem-Solving-RCA\C06-L3.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html"
"D8","D8",2,2,false,"10-Training-Academy\01-Competency-System\02-Levels\05-C05-Customer-Service-B2B\C05-L3.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html"
"DATA","DATA",19,4,true,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-109-power-automate-flows-and-approvals-spec.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-01.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-02.html"
"DAX","DAX",7,2,false,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-06.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-08.html"
"DC","DC",7,2,true,"03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-303-engineering-release-baseline-package-and-job-snapshot-control.html | 10-Training-Academy\01-Competency-System\02-Levels\11-C11-Sales-Contract-Review\C11-L4.html"
"DCN","DCN",28,1,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-12.html"
"DCR","DCR",87,38,true,"03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-101-document-and-data-control.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-104-data-governance-records-security-and-ip-protection.html | 03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-105-organizational-knowledge-management.html"
"DDP","DDP",2,1,true,"10-Training-Academy\01-Competency-System\02-Levels\11-C11-Sales-Contract-Review\C11-L2.html"
"DEP","DEP",8,1,false,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-116-m365-folder-structure-blueprint.html"
"DEV","DEV",21,4,false,"03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-109-power-automate-flows-and-approvals-spec.html | 03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-113-dashboard-deployment-access-and-refresh-control.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-08.html"
"DFM","DFM",184,28,true,"02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html | 02-Tai-Lieu-He-Thong\03-Organization\02-Department-Handbooks\dept-engineering-handbook.html | 02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\01-JD-Executive\jd-production-director.html"
"DIM","DIM",2,2,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html | 10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-g4-final-ship-packet.html"
"DLP","DLP",36,4,true,"10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-10.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-23.html | 10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-24.html"
"DMS","DMS",7,4,true,"10-Training-Academy\01-Competency-System\02-Levels\19-C19-Leadership-Coaching\C19-L1.html | 10-Training-Academy\01-Competency-System\02-Levels\19-C19-Leadership-Coaching\C19-L2.html | 10-Training-Academy\01-Competency-System\02-Levels\19-C19-Leadership-Coaching\C19-L3.html"
"DNC","DNC",7,6,true,"03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\wi-517-setup-changeover-smed-standard-work.html | 03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\annex-102-access-request-field-dictionary.html | 10-Training-Academy\01-Competency-System\02-Levels\16-C16-Advanced-Metrology\C16-L1.html"
